,grade,seq_4_avg,quiz_avg,seq_0_avg,seq_1_avg,seq_2_avg,seq_3_avg,duracion_sesion_avg,duracion_sesion_std,duracion_EOL,num_sesiones_agosto,num_sesiones_septiembre,num_sesiones_noviembre,page_close_mean,page_close_std,problem_graded_mean,problem_graded_std,problem_check_mean,problem_check_std,problem_show_mean,problem_show_std,seg_prev_mean,seg_prev_std,seg_next_mean,seg_next_std,seg_goto_mean,seg_goto_std,load_video_mean,load_video_std,play_video_mean,play_video_std,pause_video_mean,pause_video_std,speed_change_video_mean,speed_change_video_std,num_eventos_seq_0,num_eventos_seq_1,num_eventos_seq_2,num_eventos_seq_3,num_eventos_seq_4,label
212606,0.92,1.0,0.8879310344827587,0.75,0.9772727272727273,0.8888888888888888,1.0,8.372640736334242,8.501792294698443,57.0,7.0,10.0,2.0,0.0,0.0,1.894736842105263,2.5580968803238875,1.9473684210526316,2.676516895156554,0.42105263157894735,0.8377078165833909,0.0,0.0,0.0,0.0,0.0,0.0,4.7894736842105265,5.2342774877449365,21.736842105263158,23.668643357036185,18.157894736842106,19.172501018949962,0.42105263157894735,1.0173926082384546,167.0,591.0,320.0,85.0,14.0,0
214258,0.94,1.0,0.9110344827586208,1.0,0.9472727272727273,0.8888888888888888,1.0,3.6812160772989175,4.825784178247647,53.0,8.0,3.0,3.0,0.0,0.0,2.142857142857143,2.381245403214391,2.142857142857143,2.381245403214391,0.14285714285714285,0.36313651960128146,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,2.391606200815724,13.571428571428571,21.048348320782015,7.857142857142857,11.086076803860728,0.35714285714285715,0.928782731664065,105.0,265.0,191.0,15.0,0.0,1
215120,0.96,1.0,0.9310344827586208,1.0,0.8181818181818182,1.0,1.0,0.8823552842766456,0.9416867713555077,50.0,7.0,4.0,2.0,0.0,0.0,1.6923076923076923,1.9741924671712983,1.6923076923076923,1.9741924671712983,0.3076923076923077,1.1094003924504583,0.0,0.0,0.0,0.0,0.0,0.0,4.230769230769231,3.8762921749580523,5.538461538461538,5.910659644734879,3.076923076923077,2.900044208327937,1.8461538461538463,2.115268062057141,76.0,160.0,74.0,26.0,28.0,1
215807,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,2.8757467232448675,4.748800692860125,58.0,9.0,6.0,3.0,0.0,0.0,1.8333333333333333,2.8127859331777016,1.8333333333333333,2.8127859331777016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,4.259936481161358,11.055555555555555,12.981761967885934,5.111111111111111,6.379091663984485,0.0,0.0,129.0,450.0,133.0,23.0,5.0,1
216884,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,11.616654634979968,6.927543662306351,58.0,10.0,4.0,2.0,0.0,0.0,1.875,2.526525941551627,1.875,2.526525941551627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.7058512292499457,28.875,40.979466402903135,23.4375,34.20520184611302,0.0625,0.25,244.0,590.0,244.0,85.0,2.0,1
218340,0.86,1.0,0.833448275862069,1.0,0.8636363636363636,0.741111111111111,1.0,3.6868516908362694,3.090318231991061,53.0,7.0,3.0,1.0,0.0,0.0,3.1818181818181817,2.8572077914699103,3.1818181818181817,2.8572077914699103,0.45454545454545453,0.8201995322647243,0.0,0.0,0.0,0.0,0.0,0.0,5.181818181818182,4.445631154699674,25.727272727272727,26.491851234260352,16.181818181818183,14.538350537926798,0.45454545454545453,1.0357254813546264,78.0,543.0,218.0,45.0,5.0,1
219570,0.91,1.0,0.8793103448275862,1.0,0.7727272727272727,0.8888888888888888,1.0,3.1292833873155486,4.070186821380408,53.0,8.0,2.0,1.0,0.0,0.0,2.3636363636363638,2.335496832484569,2.3636363636363638,2.335496832484569,0.7272727272727273,1.6787441193290351,0.0,0.0,0.0,0.0,0.0,0.0,7.7272727272727275,7.708319000805676,14.181818181818182,19.85859099643367,7.090909090909091,8.893306982833163,1.6363636363636365,1.8040358795061298,86.0,380.0,136.0,10.0,7.0,1
220579,0.96,1.0,0.9310344827586208,0.75,1.0,1.0,1.0,4.006498425911889,5.757283878393203,53.0,6.0,3.0,1.0,0.0,0.0,3.3,3.1640339933558095,3.3,3.1640339933558095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,2.4244128727957572,17.2,18.035766933759398,7.7,5.774464862170732,1.0,1.763834207376394,121.0,265.0,112.0,30.0,10.0,1
221364,0.72,1.0,0.6982758620689655,1.0,0.38636363636363635,0.4444444444444444,0.6666666666666666,2.8272729079638785,4.6238030302749955,50.0,9.0,7.0,0.0,0.0,0.0,1.5625,2.5289984842489193,1.5625,2.5289984842489193,0.3125,1.0144785195688801,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.0,32.75,60.33296500808382,10.1875,13.141378669429374,0.0,0.0,303.0,725.0,247.0,18.0,9.0,1
222982,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,2.9507642158811587,4.158745692997054,58.0,6.0,3.0,2.0,0.0,0.0,2.727272727272727,2.76010539983201,2.727272727272727,2.76010539983201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.714835124201342,18.454545454545453,15.141754431793144,9.545454545454545,8.370945422873529,0.0,0.0,103.0,423.0,113.0,19.0,12.0,1
223981,0.99,1.0,0.956896551724138,1.0,0.9772727272727273,1.0,1.0,3.6154567005149296,5.707572560080051,58.0,8.0,4.0,2.0,0.0,0.0,2.2857142857142856,2.462911704859528,2.2857142857142856,2.462911704859528,0.07142857142857142,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.610880992010334,11.714285714285714,16.972505238353413,9.5,14.64844439102402,2.142857142857143,2.656114653953224,91.0,304.0,146.0,11.0,2.0,1
224822,0.73,1.0,0.7068965517241379,0.0,0.5909090909090909,0.5555555555555556,0.3333333333333333,11.468025876827973,7.545422519130549,58.0,4.0,4.0,2.0,0.0,0.0,2.1,2.5582111805799856,2.1,2.5582111805799856,0.5,1.2692955176439848,0.0,0.0,0.0,0.0,0.0,0.0,5.4,4.835057163858332,28.1,22.511478553543892,12.5,10.956986609262401,0.3,0.9486832980505138,60.0,542.0,208.0,21.0,0.0,1
225993,0.85,1.0,0.8189655172413793,1.0,0.7954545454545454,0.8888888888888888,0.6666666666666666,3.6866814186691355,5.311335574825056,57.0,6.0,5.0,3.0,0.14285714285714285,0.5345224838248488,2.4285714285714284,3.1553199451155436,2.4285714285714284,3.1553199451155436,0.35714285714285715,0.7449463436684921,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.420233199556505,24.571428571428573,27.165346380196294,10.285714285714286,9.848299903486438,0.7857142857142857,1.05090228108783,118.0,536.0,295.0,19.0,11.0,1
